order_item_id,order_id,product_id,quantity,unit_price,line_amount
1,O2000,P16,5,211.19,1055.95
1,O2000,P18,4,257.09,1028.36
1,O2000,P85,9,338.87,3049.83
1,O2000,P9,7,292.57,2047.99
1,O2000,P5,5,217.31,1086.55
1,O2000,P7,2,55.64,111.28
1,O2000,P59,1,168.6,168.6
1,O2000,P5,10,108.67,1086.7
1,O2000,P14,10,245.93,2459.3
1,O2000,P82,4,416.18,1664.72
1,O2000,P77,2,422.59,845.18
1,O2000,P34,7,333.05,2331.35
1,O2000,P79,10,492.18,4921.8
1,O2000,P62,1,356.57,356.57
1,O2000,P57,5,355.95,1779.75
1,O2000,P94,7,431.79,3022.53
1,O2000,P85,3,322.75,968.25
1,O2000,P37,1,75.39,75.39
1,O2000,P31,8,360.65,2885.2
1,O2000,P0,5,429.21,2146.05
1,O2000,P60,10,304.88,3048.8
1,O2000,P80,2,452.81,905.62
1,O2000,P10,5,112.87,564.35
1,O2000,P94,2,160.42,320.84
1,O2000,P79,10,93.58,935.8
1,O2000,P16,8,417.88,3343.04
1,O2000,P35,3,427.15,1281.45
1,O2000,P39,5,434.33,2171.65
1,O2000,P56,5,18.19,90.95
1,O2000,P79,6,144.66,867.96
1,O2000,P46,8,404.6,3236.8
1,O2000,P34,9,229.38,2064.42
1,O2000,P32,7,319.22,2234.54
1,O2000,P0,7,123.98,867.86
1,O2000,P39,5,217.95,1089.75
1,O2000,P25,5,278.73,1393.65
1,O2000,P17,3,84.69,254.07
1,O2000,P75,9,106.77,960.93
1,O2000,P53,4,157.9,631.6
1,O2000,P19,5,297.73,1488.65
1,O2000,P97,6,181.92,1091.52
1,O2000,P34,2,366.77,733.54
1,O2000,P82,3,121.16,363.48
1,O2000,P65,5,228.68,1143.4
1,O2000,P86,1,127.06,127.06
1,O2000,P85,5,479.82,2399.1
1,O2000,P61,6,207.7,1246.2
1,O2000,P94,3,312.68,938.04
1,O2000,P87,1,235.11,235.11
1,O2000,P91,3,72.48,217.44
1,O2000,P62,2,416.44,832.88
1,O2000,P99,8,195.57,1564.56
1,O2000,P66,4,325.98,1303.92
1,O2000,P69,3,352.22,1056.66
1,O2000,P30,3,437.3,1311.9
1,O2000,P87,4,473.63,1894.52
1,O2000,P96,5,224.9,1124.5
1,O2000,P76,2,400.87,801.74
1,O2000,P5,8,441.16,3529.28
1,O2000,P15,6,475.18,2851.08
1,O2000,P59,8,33.81,270.48
1,O2000,P36,1,21.02,21.02
1,O2000,P12,2,133.01,266.02
1,O2000,P18,10,258.0,2580.0
1,O2000,P46,1,290.09,290.09
1,O2000,P2,9,297.75,2679.75
1,O2000,P49,4,126.91,507.64
1,O2000,P92,10,144.09,1440.9
1,O2000,P11,4,489.37,1957.48
1,O2000,P78,8,485.05,3880.4
1,O2000,P16,10,94.84,948.4
1,O2000,P54,2,365.93,731.86
1,O2000,P77,6,138.05,828.3
1,O2000,P55,8,257.86,2062.88
1,O2000,P85,4,331.52,1326.08
1,O2000,P63,2,216.41,432.82
